Ort;Plz;Bundesland
Eisenach;99817;TH
Eisenbach;79871;BW
Eisenberg;7607;TH
Eisenberg;67304;RP
Eisenberg;87637;BY
Eisendorf;24589;SH
Eisenhammer;7806;TH
Eisenheim;97247;BY
Eisenhüttenstadt;15890;BB
Eisenschmelz;67705;RP
Eisenschmitt;54533;RP
Eiserhof;61203;HE
Eisfeld;98673;TH
Eishausen;98646;TH
Eisighofen;56370;RP
Eisingen;75239;BW
Eisingen;97249;BY
Eislingen;73054;BW
Eitelborn;56337;RP
Eitensheim;85117;BY
Eiterfeld;36132;HE
Eitleshof;73037;BW
Eitorf;53783;NW
Eitting;85462;BY
Eixen;18334;MV
Ekebergkrug;24891;SH
Ekenis;24392;SH
Elbe;38274;NI
Elben;57580;RP
Elbenschwand;79692;BW
Elbingen;56459;RP
Elbingerode;37412;NI
Elbingerode;38875;ST
Elbisbach;4651;SN
Elbrechting;83546;BY
Elbtal;65627;HE
Elchesheim-Illingen;76477;BW
Elchingen;89275;BY
Elchweiler;55765;RP
Eldena;19294;MV
Eldenburg;19309;BB
Eldingen;29351;NI
Elend;38875;ST
Elende;99759;TH
Elfershausen;97725;BY
Elgersburg;98716;TH
Eliasbrunn;7356;TH
Elisabethhöhe;14542;BB
Elisabeth-Sophien-Koog;25845;SH
Elkenroth;57578;RP
Elleben;99334;TH
Ellefeld;8236;SN
Ellenberg;29413;ST
Ellenberg;55765;RP
Ellenberg;73488;BW
Ellenhausen;56242;RP
Ellenz-Poltersdorf;56821;RP
Ellerau;25479;SH
Ellerbek;25474;SH
Ellerdorf;24589;SH
Ellerhoop;25373;SH
Ellern;55497;RP
Ellershagen;16928;BB
Ellersleben;99628;TH
Ellerstadt;67158;RP
Ellgau;86679;BY
Ellhofen;74248;BW
Ellhöft;25923;SH
Ellingen;91792;BY
Ellingshausen;98617;TH
Ellingstedt;24870;SH
Ellrich;99755;TH
Ellrichsbronn;73485;BW
Ellscheid;54552;RP
Ellwangen;73479;BW
Ellweiler;55765;RP
Ellzee;89352;BY
Elmau;82493;BY
Elmenhorst;18510;MV
Elmenhorst;21493;SH
Elmenhorst;23869;SH
Elmenhorst;23948;MV
Elmenhorst/Lichtenhagen;18107;MV
Elmlohe;27624;NI
Elmshorn;25335;SH
Elmshorn;25336;SH
Elmshorn;25337;SH
Elmstein;67471;RP
Elpersbüttel;25704;SH
Elschbacherhof;66892;RP
Elsdorf;6369;ST
Elsdorf;27404;NI
Elsdorf;50189;NW
Elsdorf-Westermühlen;24800;SH
Elsendorf;84094;BY
Elsenfeld;63820;BY
Elsfleth;26931;NI
Elsholz;14547;BB
Elskop;25361;SH
Elslaake;14715;BB
Elsnig;4880;SN
Elsnigk;6386;ST
Elsoff;56479;RP
Elstal;14627;BB
Elster;6918;ST
Elsterberg;7985;SN
Elsterheide;2979;SN
Elstertrebnitz;4523;SN
Elsterwerda;4910;BB
Elstra;1920;SN
Elterlein;9481;SN
Eltmann;97483;BY
Eltville;65343;HE
Eltville;65344;HE
Eltville;65345;HE
Eltville;65346;HE
Eltville;65347;HE
Elxleben;99189;TH
Elxleben;99334;TH
Elz;65604;HE
Elzach;79215;BW
Elze;31008;NI
Elztal;74834;BW
Elzweiler;66887;RP
Embsen;21409;NI
Embühren;24819;SH
Emden;26721;NI
Emden;26723;NI
Emden;26725;NI
Emden;39343;ST
Emeringen;88499;BW
Emerkingen;89607;BW
Emersacker;86494;BY
Emersleben;38822;ST
Emishalden;88430;BW
Emkendorf;24802;SH
Emleben;99869;TH
Emlichheim;49824;NI
Emmelbaum;54673;RP
Emmelsbüll-Horsbüll;25924;SH
Emmelshausen;56281;RP
Emmendingen;79312;BW
Emmendorf;29579;NI
Emmerich;46446;NW
Emmering;82275;BY
Emmering;83550;BY
Emmerthal;31860;NI
Emmerting;84547;BY
Emmerzhausen;57520;RP
Emmingen-Liptingen;78576;BW
Empfertshausen;36452;TH
Empfingen;72186;BW
Emsbüren;48488;NI
Emsdetten;48282;NW
Emseloh;6528;ST
Emskirchen;91448;BY
Emstal;14797;BB
Emstek;49685;NI
Emtinghausen;27321;NI
Emtmannsberg;95517;BY
Endingen;79346;BW
Endlichhofen;56355;RP
Endorf;6333;ST
Endschütz;7570;TH
Engden;48465;NI
Engedey;83471;BY
Engelbrechtsche Wildnis;25348;SH
Engelhof;73266;BW
Engeln;27305;NI
Engelsbach;99898;TH
Engelsberg;54538;RP
Engelsberg;84549;BY
Engelsbrand;75331;BW
Engelschoff;21710;NI
Engelskirchen;51766;NW
Engelstadt;55270;RP
Engelthal;91238;BY
Engen;78234;BW
Enger;32130;NW
Engerda;7407;TH
Engersen;39638;ST
Enge-Sande;25917;SH
Englertshofen;82282;BY
Englstetten;83552;BY
Engstingen;72829;BW
Eningen;72800;BW
Enkenbach-Alsenborn;67677;RP
Enkirch;56850;RP
Enklarn;93437;BY
Ennepetal;58256;NW
Ennigerloh;59320;NW
Ensch;54340;RP
Ensdorf;66806;SL
Ensdorf;83546;BY
Ensdorf;92266;BY
Ense;59469;NW
Ensheim;55232;RP
Enspel;57647;RP
Entrischenbrunn;85307;BY
Enzen;54646;RP
Enzersdorf;83329;BY
Enzklösterle;75337;BW
Epenwöhrden;25704;SH
Epfach;86920;BY
Epfenbach;74925;BW
Epfendorf;78736;BW
Eppelborn;66571;SL
Eppelheim;69214;BW
Eppelsheim;55234;RP
Eppenberg;56759;RP
Eppenbrunn;66957;RP
Eppendorf;9575;SN
Eppenrod;65558;RP
Eppenschlag;94536;BY
Eppertshausen;64859;HE
Eppingen;75031;BW
Eppishausen;87745;BY
Eppstein;65817;HE
Erbach;55494;RP
Erbach;64711;HE
Erbach;89155;BW
Erbendorf;92681;BY
Erbenhausen;98634;TH
Erbes-Büdesheim;55234;RP
Erbmühle;92345;BY
Erdeborn;6317;ST
Erden;54492;RP
Erdesbach;66887;RP
Erdfunkstelle Usingen;61250;HE
Erding;85435;BY
Erdmannhausen;71729;BW
Erdweg;85253;BY
Eresing;86922;BY
Erfde;24803;SH
Erfderdamm;25868;SH
Erfenstein;67466;RP
Erftstadt;50374;NW
Erfurt;99084;TH
Erfurt;99085;TH
Erfurt;99086;TH
Erfurt;99087;TH
Erfurt;99089;TH
Erfurt;99091;TH
Erfurt;99092;TH
Erfurt;99094;TH
Erfurt;99096;TH
Erfurt;99097;TH
Erfurt;99098;TH
Erfurt;99099;TH
Erfweiler;66996;RP
Ergersheim;91465;BY
Ergeshausen;56368;RP
Ergolding;84030;BY
Ergoldsbach;84061;BY
Erharting;84513;BY
Ering;94140;BY
Eriskirch;88097;BW
Erkelenz;41812;NW
Erkelshäuserhof;66851;RP
Erkenbrechtsweiler;73268;BW
Erkerode;38173;NI
Erkheim;87746;BY
Erkner;15537;BB
Erkrath;40699;NW
Erlabrunn;8349;SN
Erlabrunn;97250;BY
Erlachskirchen;91469;BY
Erlangen;91052;BY
Erlangen;91054;BY
Erlangen;91056;BY
Erlangen;91058;BY
Erlau;9306;SN
Erlau;98553;TH
Erlbach;8265;SN
Erlbach;9326;SN
Erlbach;84567;BY
Erlbach-Kirchberg;9385;SN
Erlenbach;63906;BY
Erlenbach;74235;BW
Erlenbach;76872;RP
Erlenbach;76891;RP
Erlenbach;97837;BY
Erlenbacher Forsthaus;67468;RP
Erlenborn;56340;RP
Erlenfurt;97840;BY
Erlenhof;73249;BW
Erlenmoos;88416;BW
Erlenmühle;66917;RP
Erlenmühle;78554;BW
Erlensee;63526;HE
Erlenwasen;73087;BW
Erlhof;94565;BY
Erligheim;74391;BW
Ermershausen;96126;BY
Ermke;49696;NI
Ermlitz;6184;ST
Ermsleben;6463;ST
Ermstedt;99192;TH
Erndtebrück;57339;NW
Ernsgaden;85119;BY
Ernst;56814;RP
Ernstroda;99894;TH
Ernstthal;98724;TH
Ernzen;54668;RP
Erolzheim;88453;BW
Erpel;53579;RP
Erpolzheim;67167;RP
Ersfeld;57635;RP
Ertingen;88521;BW
Erwitte;59597;NW
Erxleben;39343;ST
Erxleben;39606;ST
Erzenhausen;67685;RP
Erzhausen;64390;HE
Esch;54518;RP
Esch;54585;RP
Eschach;73569;BW
Eschau;63863;BY
Eschbach;56357;RP
Eschbach;76831;RP
Eschbach;79427;BW
Eschborn;65760;HE
Eschbronn;78664;BW
Eschdorf;7407;TH
Esche;49828;NI
Escheburg;21039;SH
Eschede;29348;NI
Eschelbronn;74927;BW
Eschenbach;73107;BW
Eschenbach;92676;BY
Eschenbergen;99869;TH
Eschenburg;35713;HE
Eschenlohe;82438;BY
Eschenlohe;83565;BY
Eschenrode;39356;ST
Eschenthal;96523;TH
Eschershausen;37632;NI
Eschfeld;54619;RP
Eschlhof;93449;BY
Eschlkam;93458;BY
Eschwege;37269;HE
Eschweiler;52249;NW
Eselhöfe;73349;BW
Esens;26427;NI
Esgrus;24402;SH
Eslarn;92693;BY
Eslingholz;24891;SH
Eslohe;59889;NW
Espelkamp;32339;NW
Espenau;34314;HE
Espenhain;4579;SN
Esperstedt;6279;ST
Esperstedt;6567;TH
Eßbach;7924;TH
Eßbaum;83552;BY
Essel;29690;NI
Esselbach;97839;BY
Esselborn;55234;RP
Essen;45127;NW
Essen;45128;NW
Essen;45130;NW
Essen;45131;NW
Essen;45133;NW
Essen;45134;NW
Essen;45136;NW
Essen;45138;NW
Essen;45139;NW
Essen;45141;NW
Essen;45143;NW
Essen;45144;NW
Essen;45145;NW
Essen;45147;NW
Essen;45149;NW
Essen;45219;NW
Essen;45239;NW
Essen;45257;NW
Essen;45259;NW
Essen;45276;NW
Essen;45277;NW
Essen;45279;NW
Essen;45289;NW
Essen;45307;NW
Essen;45309;NW
Essen;45326;NW
Essen;45327;NW
Essen;45329;NW
Essen;45355;NW
Essen;45356;NW
Essen;45357;NW
Essen;45359;NW
Essen;49632;NI
Essenbach;84051;BY
Essenheim;55270;RP
Essing;93343;BY
Essingen;73457;BW
Essingen;76879;RP
Eßleben;99628;TH
Eßlingen;54636;RP
Esslingen;73728;BW
Esslingen;73730;BW
Esslingen;73732;BW
Esslingen;73733;BW
Esslingen;73734;BW
Eßweiler;67754;RP
Estedt;39638;ST
Estenfeld;97230;BY
Esterwegen;26897;NI
Esthal;67472;RP
Estorf;21727;NI
Estorf;31629;NI
Etgersleben;39448;ST
Etgert;54424;RP
Etingen;39359;ST
Etschberg;66871;RP
Ettal;82488;BY
Etteldorf;54655;RP
Ettendorf;83359;BY
Ettenhausen a d Nesse;99819;TH
Ettenhausen a d Suhl;99819;TH
Ettenheim;77955;BW
Ettenstatt;91796;BY
Ettersburg;99439;TH
Ettinghausen;56244;RP
Ettlingen;76275;BW
Ettringen;56729;RP
Ettringen;86833;BY
Etzbach;57539;RP
Etzelsrode;99735;TH
Etzelwang;92268;BY
Etzenbachermühle;66894;RP
Etzenricht;92694;BY
Etzin;14641;BB
Etzleben;6577;TH
Etzoldshain;6729;ST
Euerbach;97502;BY
Euerdorf;97717;BY
Eulau;6618;ST
Eulenberg;57632;RP
Eulenbis;67685;RP
Eulenhof;73655;BW
Eulenkrug;23923;MV
Eulenkrug;23948;MV
Eulenmühle;74597;BW
Eulgem;56761;RP
Eulowitz;2692;SN
Eurasburg;82547;BY
Eurasburg;86495;BY
Eurastetten;82282;BY
Euscheid;54597;RP
Euskirchen;53879;NW
Euskirchen;53881;NW
Eußenheim;97776;BY
Eußerthal;76857;RP
Euteneuen;57555;RP
Eutin;23701;SH
Eutingen;72184;BW
Eutzsch;6888;ST
Evenhausen;83552;BY
Everingen;39359;ST
Everode;31085;NI
Eversdorf;29416;ST
Evershorst;49459;NI
Eversmeer;26556;NI
Everstorf;23936;MV
Everswinkel;48351;NW
Evessen;38173;NI
Ewighausen;56244;RP
Exdorf;98631;TH
Extertal;32699;NW
Eyba;7318;TH
Eydelstedt;49406;NI
Eyendorf;21376;NI
Eyrain;83739;BY
Eystrup;27324;NI
Fach;73453;BW
Fachbach;56133;RP
Fachingen;65626;RP
Fahlhorst;14532;BB
Fahrbinde;19288;MV
Fahrdorf;24857;SH
Fahren;23992;MV
Fahren;24253;SH
Fahrenbach;74864;BW
Fahrendorf;21039;SH
Fahrenhorst;24214;SH
Fahrenkamp;18356;MV
Fahrenkrug;23795;SH
Fahrenwalde;17309;MV
Fahrenzhausen;85777;BY
Fahrland;14476;BB
Fahrnpoint;83250;BY
Faid;56814;RP
Falken;99830;TH
Falkenau;9569;SN
Falkenauel;54673;RP
Falkenbach;9429;SN
Falkenberg;4895;BB
Falkenberg;15518;BB
Falkenberg;15848;BB
Falkenberg;15926;BB
Falkenberg;16259;BB
Falkenberg;39615;ST
Falkenberg;84326;BY
Falkenberg;95685;BY
Falkenfels;94350;BY
Falkenhagen;15306;BB
Falkenhagen;16928;BB
Falkenhagen;17291;BB
Falkenhain;4808;SN
Falkenhain;15938;BB
Falkenmühle;76891;RP
Falkenrehde;14641;BB
Falkensee;14612;BB
Falkenstein;8223;SN
Falkenstein;67808;RP
Falkenstein;93167;BY
Falkenthal;16775;BB
Falkenwalde;17291;BB
Fallingbostel;29683;NI
Fambach;98597;TH
Farchant;82490;BY
Farchau;23909;SH
Farchauermühle;23909;SH
Fargau-Pratjau;24256;SH
Farnstädt;6279;ST
Farschweiler;54317;RP
Farsleben;39326;ST
Farven;27446;NI
Fasanenhof;76694;BW
Fasanenjäger;83371;BY
Fasanerie;1561;SN
Faßberg;29328;NI
Fattigsmühle;95189;BY
Faulbach;56235;RP
Faulbach;97906;BY
Faulenrost;17139;MV
Faulungen;99976;TH
Faustenbach;64658;HE
Faustermühle;66482;RP
Fedderingen;25779;SH
Feddersdeich;25840;SH
Fehl-Ritzhausen;56472;RP
Fehrbellin;16833;BB
Fehrow;3096;BB
Feichten;83552;BY
Feichten;84550;BY
Feilbingert;67824;RP
Feilitzsch;95183;BY
Feilsdorf;54636;RP
Felchow;16278;BB
Feldafing;82340;BY
Feldatal;36325;HE
Feldberg;17258;MV
Feldberg;79868;BW
Felde;24242;SH
Feldengel;99718;TH
Feldheim;14913;BB
Feldhorst;23858;SH
Feldhusen;23942;MV
Feldkirchen;85622;BY
Feldkirchen;94351;BY
Feldkirchen-Westerham;83620;BY
Feldmühle;85276;BY
Fell;54341;RP
Fellbach;70734;BW
Fellbach;70736;BW
Fellen;97778;BY
Fellheim;87748;BY
Felm;24244;SH
Fels;95131;BY
Felsberg;34587;HE
Felsbergerhof;67806;RP
Felsenhagen;16928;BB
Fensdorf;57580;RP
Fensterbach;92269;BY
Ferbitz;19309;BB
Ferch;14548;BB
Ferchels;14715;ST
Ferchesar;14715;BB
Ferchland;39317;ST
Ferdinandshof;17379;MV
Ferdinandshorst;17291;BB
Fermerswalde;4895;BB
Ferna;37339;TH
Fernwald;35463;HE
Ferschweiler;54668;RP
Feucht;90537;BY
Feuchtwangen;91555;BY
Feuerscheid;54597;RP
Feusdorf;54584;RP
Fichtelberg;95686;BY
Fichtenau;74579;BW
Fichtenberg;4931;BB
Fichtenberg;74427;BW
Fichtenhusen;23996;MV
Fichtenwalde;14547;BB
Fiefbergen;24217;SH
Fienstedt;6198;ST
Fiersbach;57635;RP
Filderstadt;70794;BW
Filsen;56341;RP
Filsum;26849;NI
Filz;56766;RP
Fincken;17209;MV
Finkenbach-Gersweiler;67822;RP
Finkenberg;74579;BW
Finkenhaus;74579;BW
Finkenthal;17179;MV
Finnentrop;57413;NW
Finning;86923;BY
Finningen;89435;BY
Finowfurt;16244;BB
Finsing;85464;BY
Finsterbergen;99898;TH
Finsterbrunnertal;67705;RP
Finsterwalde;3238;BB
Fintel;27389;NI
Firrel;26835;NI
Fisch;54439;RP
Fischach;86850;BY
Fischbach;1477;SN
Fischbach;36452;TH
Fischbach;55743;RP
Fischbach;66996;RP
Fischbach;67693;RP
Fischbach;99891;TH
Fischbachau;83730;BY
Fischbach-Oberraden;54675;RP
Fischbachtal;64405;HE
Fischbeck;39524;ST
Fischen;87538;BY
Fischerbach;77716;BW
Fischingen;79592;BW
Fischwasser;3238;BB
Fischweier;76359;BW
Fißmühle;56330;RP
Fitzbek;25579;SH
Fitzen;21514;SH
Flachslanden;91604;BY
Flacht;65558;RP
Fladungen;97650;BY
Flammersfeld;57632;RP
Flarchheim;99986;TH
Flarupholz;24392;SH
Flatow;16766;BB
Flechtingen;39345;ST
Fleckeby;24357;SH
Flecken Zechlin;16837;BB
Fleckenbacher Sägmühle;73494;BW
Fleethof;17099;MV
Fleetmark;29416;ST
Flein;74223;BW
Fleischwangen;88373;BW
Flemlingen;76835;RP
Flemsdorf;16306;BB
Flensburg;24937;SH
Flensburg;24939;SH
Flensburg;24941;SH
Flensburg;24943;SH
Flensburg;24944;SH
Handewitt;24976;SH
Fleringen;54597;RP
Flessau;39606;ST
Flieden;36103;HE
Fliegenberg;23919;SH
Fließem;54636;RP
Flieth;17268;BB
Flintbek;24220;SH
Flintsbach;83126;BY
Flögeln;27624;NI
Flöha;9557;SN
Flohkraut;87671;BY
Floh-Seligenthal;98593;TH
Flomborn;55234;RP
Flonheim;55237;RP
Flörsbachtal;63639;HE
Flörsheim;65439;HE
Flörsheim-Dalsheim;67592;RP
Florstadt;61197;HE
Floß;92685;BY
Flößberg;4651;SN
Flossenbürg;92696;BY
Flöthe;38312;NI
Fluorn-Winzeln;78737;BW
Flurstedt;99510;TH
Flußbach;54516;RP
Fluterschen;57614;RP
Fockbek;24787;SH
Föckelberg;66887;RP
Fockendorf;4617;TH
Fohrde;14798;BB
Föhrden-Barl;25563;SH
Föhren;54343;RP
Fohren-Linden;55777;RP
Forbach;76596;BW
Forchheim;79362;BW
Forchheim;91301;BY
Forchtenberg;74670;BW
Förderstedt;39443;ST
Forheim;86735;BY
Föritz;96524;TH
Forst;3149;BB
Forst;56754;RP
Forst;56858;RP
Forst;57537;RP
Forst;67147;RP
Forst;76694;BW
Forstern;85659;BY
Forsthaus Heide;68623;HE
Forsthaus Ivendorf;18211;MV
Forsthof Satow;18239;MV
Forstinning;85661;BY
Forstmehren;57635;RP
Forstwolfersdorf;7570;TH
Förtha;99819;TH
Förthen;7937;TH
Framersheim;55234;RP
Frammersbach;97833;BY
Frankelbach;67737;RP
Frankena;3253;BB
Frankenau;35110;HE
Frankenberg;9669;SN
Frankenberg;35066;HE
Frankendorf;16818;BB
Frankendorf;99441;TH
Frankeneck;67468;RP
Frankenfeld;27336;NI
Frankenhain;4643;SN
Frankenhain;4936;BB
Frankenhain;99330;TH
Frankenhardt;74586;BW
Frankenheim;98634;TH
Frankenroda;99826;TH
Frankenstein;9569;SN
Frankenstein;67468;RP
Frankenthal;1909;SN
Frankenthal;67227;RP
Frankenwinheim;97447;BY
Frankfurt;15230;BB
Frankfurt;15232;BB
Frankfurt;15234;BB
Frankfurt;15236;BB
Frankfurt;60308;HE
Frankfurt;60311;HE
Frankfurt;60313;HE
Frankfurt;60314;HE
Frankfurt;60316;HE
Frankfurt;60318;HE
Frankfurt;60320;HE
Frankfurt;60322;HE
Frankfurt;60323;HE
Frankfurt;60325;HE
Frankfurt;60326;HE
Frankfurt;60327;HE
Frankfurt;60329;HE
Frankfurt;60385;HE
Frankfurt;60386;HE
Frankfurt;60388;HE
Frankfurt;60389;HE
Frankfurt;60431;HE
Frankfurt;60433;HE
Frankfurt;60435;HE
Frankfurt;60437;HE
Frankfurt;60438;HE
Frankfurt;60439;HE
Frankfurt;60486;HE
Frankfurt;60487;HE
Frankfurt;60488;HE
Frankfurt;60489;HE
Frankfurt;60528;HE
Frankfurt;60529;HE
Frankfurt;60549;HE
Frankfurt;60594;HE
Frankfurt;60596;HE
Frankfurt;60598;HE
Frankfurt;60599;HE
Frankfurt;65929;HE
Frankfurt;65931;HE
Frankfurt;65933;HE
Frankfurt;65934;HE
Frankfurt;65936;HE
Fränkisch-Crumbach;64407;HE
Frankleben;6259;ST
Frankweiler;76833;RP
Franzburg;18461;MV
Franzenheim;54316;RP
Franzenmühle;56332;RP
Frasdorf;83112;BY
Fraßdorf;6386;ST
Frauenau;94258;BY
Frauenberg;55776;RP
Frauenberg;82216;BY
Frauenchiemsee;83256;BY
Frauendorf;1945;BB
Frauendorf;3058;BB
Frauendorf;4668;SN
Frauenhagen;16278;BB
Frauenholz;73072;BW
Frauenhurt;83374;BY
Frauenmark;19374;MV
Frauenneuharting;83553;BY
Frauenprießnitz;7774;TH
Frauensee;36460;TH
Frauenstein;9623;SN
Frauenwald;98711;TH
Fräulein-Steinfort;23936;MV
Fraulund;24405;SH
Fraunberg;85447;BY
Fraureuth;8427;SN
Frauwalde;1990;BB
Frechen;50226;NW
Freckenfeld;76872;RP
Freckleben;6456;ST
Fredeburg;23909;SH
Freden;31084;NI
Fredenbeck;21717;NI
Fredersdorf;14806;BB
Fredersdorf;15370;BB
Fredersdorf;16306;BB
Fredesdorf;23826;SH
Freesdorf;15926;BB
Frehne;16945;BB
Freiamt;79348;BW
Freiberg;9599;SN
Freiberg;71691;BW
Freiberg;94469;BY
Freiburg;21729;NI
Freiburg;79098;BW
Freiburg;79100;BW
Freiburg;79102;BW
Freiburg;79104;BW
Freiburg;79106;BW
Freiburg;79108;BW
Freiburg;79110;BW
Freiburg;79111;BW
Freiburg;79112;BW
Freiburg;79114;BW
Freiburg;79115;BW
Freiburg;79117;BW
Freidorf;15757;BB
Freienbessingen;99713;TH
Freienhagen;16515;BB
Freienhagen;37318;TH
Freienhufen;1983;BB
Freienorla;7768;TH
Freiensteinau;36399;HE
Freienthal;14822;BB
Freienwill;24991;SH
Freigericht;63579;HE
Freihung;92271;BY
Freilassing;83395;BY
Frei-Laubersheim;55546;RP
Freileben;4936;BB
Freilingen;56244;RP
Freimersheim;55234;RP
Freimersheim;67482;RP
Freinberg;83552;BY
Freinsheim;67251;RP
Freirachdorf;56244;RP
Freisbach;67361;RP
Freisen;66629;SL
Freising;85354;BY
Freising;85356;BY
Freist;6347;ST
Freistatt;27259;NI
Freital;1705;SN
Freiwalde;15910;BB
Frellstedt;38373;NI
Frelsdorf;27616;NI
Fremdingen;86742;BY
Frensdorf;96158;BY
Freren;49832;NI
Fresdorf;14552;BB
Fresenboje;24358;SH
Fresenbrügge;19300;MV
Fresenburg;49762;NI
Fresendelf;25876;SH
Frestedt;25727;SH
Frettenheim;67596;RP
Fretterode;37318;TH
Fretzdorf;16909;BB
Freudenberg;16259;BB
Freudenberg;24816;SH
Freudenberg;57258;NW
Freudenberg;92272;BY
Freudenberg;97896;BW
Freudenburg;54450;RP
Freudenheim;94501;BY
Freudenstadt;72250;BW
Freudental;74392;BW
Freyburg;6632;ST
Freyenstein;16918;BB
Freystadt;92342;BY
Freyung;94078;BY
Frickenhausen;72636;BW
Frickenhausen;97252;BY
Frickingen;88699;BW
Friderikenhof;14979;BB
Fridingen;78567;BW
Fridolfing;83413;BY
Friedberg;61169;HE
Friedberg;86316;BY
Friedbüsch;54655;RP
Friedebach;7381;TH
Friedeburg;6347;ST
Friedeburg;26446;NI
Friedeburgerhütte;6347;ST
Friedelshausen;98634;TH
Friedelsheim;67159;RP
Friedenfelde;17268;BB
Friedenfels;95688;BY
Friedensau;39291;ST
Friedensdorf;6254;ST
Friedenthal;57589;RP
Friedenweiler;79877;BW
Friedersdorf;1744;SN
Friedersdorf;2742;SN
Friedersdorf;3253;BB
Friedersdorf;4916;BB
Friedersdorf;6749;ST
Friedersdorf;15306;BB
Friedersdorf;15754;BB
Friedersdorf;98701;TH
Friedewald;36289;HE
Friedewald;57520;RP
Friedland;9634;SN
Friedland;15848;BB
Friedland;17098;MV
Friedland;37133;NI
Friedrichroda;99894;TH
Friedrichsaue;6449;ST
Friedrichsaue;15328;BB
Friedrichsbrunn;6507;ST
Friedrichsdorf;6386;ST
Friedrichsdorf;61381;HE
Friedrichsgabekoog;25764;SH
Friedrichsgraben;24799;SH
Friedrichshafen;88045;BW
Friedrichshafen;88046;BW
Friedrichshafen;88048;BW
Friedrichshagen;23936;MV
Friedrichshain;3130;BB
Friedrichshof;15754;BB
Friedrichshof;16259;BB
Friedrichshof;17337;MV
Friedrichshof;18246;MV
Friedrichshof;95460;BY
Friedrichshöhe;98749;TH
Friedrichsholm;24799;SH
Friedrichskoog;25718;SH
Friedrichsrode;99713;TH
Friedrichsruh;21521;SH
Friedrichsruhe;19374;MV
Friedrichstadt;25840;SH
Friedrichsthal;16306;BB
Friedrichsthal;16515;BB
Friedrichsthal;66299;SL
Friedrichsthal;99735;TH
Friedrichswalde;16247;BB
Friedrichswalde;19339;BB
Friedrichswalde;19412;MV
Friedrichswerth;99869;TH
Friedrich-Wilhelm-Lübke-Koog;25924;SH
Frielendorf;34621;HE
Friemar;99869;TH
Frienstedt;99192;TH
Friesack;14662;BB
Friesdorf;6543;ST
Friesenhagen;51598;RP
Friesenheim;55278;RP
Friesenheim;77948;BW
Friesenried;87654;BY
Friesoythe;26169;NI
Frießnitz;7570;TH
Frimberg;83546;BY
Friolzheim;71292;BW
Frittlingen;78665;BW
Fritzenweng;83379;BY
Fritzlar;34560;HE
Frohburg;4654;SN
Fröhden;14913;BB
Fröhnd;79677;BW
Frohndorf;99610;TH
Frohnhofen;66903;RP
Frohnloh;82349;BY
Frohnsdorf;4618;TH
Frohnsdorf;14929;BB
Froitshub;83552;BY
Frömmstedt;99638;TH
Fröndenberg;58730;NW
Fronderode;99735;TH
Fronhausen;35112;HE
Fronhofen;55471;RP
Fronreute;88273;BW
Frontenhausen;84160;BY
Frose;6464;ST
Fröttstädt;99880;TH
Frücht;56132;RP
Fuchsberg;85254;BY
Fuchsenmühle;97828;BY
Fuchshain;4683;SN
Fuchshäusle;73453;BW
Fuchshof;91344;BY
Fuchshofen;53533;RP
Fuchsmühl;95689;BY
Fuchsmühle;76877;RP
Fuchsstadt;97727;BY
Fuchssteig;83364;BY
Fuchstal;86925;BY
Fuhlendorf;18356;MV
Fuhlendorf;24649;SH
Fuhlenhagen;21493;SH
Fulda;36037;HE
Fulda;36039;HE
Fulda;36041;HE
Fulda;36043;HE
Fuldabrück;34277;HE
Fuldatal;34233;HE
Fulgenkoppel;18209;MV
Fünfeichen;15890;BB
Fünfmühlen;24861;SH
Fünfstetten;86681;BY
Fürfeld;55546;RP
Fürnsbach;85465;BY
Fürst;83329;BY
Fürstenau;1778;SN
Fürstenau;49584;NI
Fürstenberg;16798;BB
Fürstenberg;37699;NI
Fürsteneck;94142;BY
Fürstenfeldbruck;82256;BY
Fürstenstein;94538;BY
Fürstental;34516;HE
Fürstenwalde;1778;SN
Fürstenwalde;15517;BB
Fürstenwerder;17291;BB
Fürstenzell;94081;BY
Fürstlich Drehna;3246;BB
Furt;83739;BY
Furth;82041;BY
Furth;83552;BY
Furth;84095;BY
Fürth;64658;HE
Fürth;90762;BY
Fürth;90763;BY
Fürth;90765;BY
Fürth;90766;BY
Fürth;90768;BY
Furth im Wald;93437;BY
Fürthen;57539;RP
Furtwangen;78120;BW
Füssen;87629;BY
Fußgönheim;67136;RP
Fußstall;83714;BY
Gaarz;19309;BB
Gaarzerhof;18230;MV
Gabermühle;91077;BY
Gaberndorf;99428;TH
Gablenz;2953;SN
Gablenz;3058;BB
Gablenz-Kromlau;2953;SN
Gablingen;86456;BY
Gabsheim;55288;RP
Gachenbach;86565;BY
Gackenbach;56412;RP
Gädebehn;19089;MV
Gadebusch;19205;MV
Gadegast;6918;ST
Gädheim;97503;BY
Gadow;16909;BB
Gadsdorf;15806;BB
Gagel;39606;ST
Gägelow;19406;MV
Gägelow;23968;MV
Gager;18586;MV
Gaggenau;76571;BW
Gagzow;23974;MV
Gahlenz;9569;SN
Gahma;7356;TH
Gahro;3246;BB
Gahry;3149;BB
Gaiberg;69251;BW
Gaienhofen;78343;BW
Gaildorf;74405;BW
Gailingen;78262;BW
Gaimersheim;85080;BY
Gaisberg;83546;BY
Gaißach;83674;BY
Galenbeck;17153;MV
