title_de,title_ru
"Musik im Museum – Ensemble Alcinelle","Музыка в музее — ансамбль Alcinelle"
"I Quattro Sonetti Vivaldiani","I Quattro Sonetti Vivaldiani"
"Fridolfinger Kinderfest","Детский праздник в Фридольфинге"
ALPaca-Wanderung,"Поход с альпаками"
"MEHRKÖRPERSYSTEME. Kippmomente zwischen Figur und Raum","МНОГОКОРПУСНЫЕ СИСТЕМЫ. Моменты перелома между фигурой и пространством"
Michaeliritt,Майкл-Рит
"Seeoner Kirchenführung","Экскурсия по церкви в Зеоне"
"Öffentliche Museumsführung","Публичная экскурсия по музею"
"Bergen: Siegerehrung Hochfellnberglauf","Берген: церемония награждения победителей забега Hochfellnberglauf"
"Ausstellung ""Free Again""","Выставка «Free Again»"
"""Forró no domingo"" im O.R.T","«Forró no domingo» в O.R.T"
"Dorfschießen Schützengesellschaft Staudach-Egerndach","Сельская стрельба Стрелковое общество Staudach-Egerndach"
"Seeoner Kutschfahrten","Прогулки на карете в Зеонере"
"Vom Alphorn bis zur Goaßl","От альпхорна до Goaßl"
"Tanzen im ORT","Танцы в ORT"
"Musik & Kultur im Winkl - mit dem Duo Michael Alf","Музыка и культура в Winkl – с дуэтом Michael Alf"
"Teachers Groove Bigband","Teachers Groove Bigband"
"Theater der Volksbühne Übersee-Feldwies","Театр Volksbühne Übersee-Feldwies"
"Vereinsausflug FFW Nirnharting","Поездка клуба FFW Nirnharting"
"Ponyreiten auf Islandponys in Chieming","Верховая езда на исландских пони в Киминг"
"Fantasy- & Mittelaltermarkt","Фэнтезийный и средневековый рынок"
"Entspannen mit heilsamen Klängen","Расслабление под целебные звуки"
"Brauerei Camba Bavaria: Selbstgeführte Tour","Пивоварня Camba Bavaria: самостоятельная экскурсия"
"Soulfulflow Yoga - Pilates x Yoga Fusion","Soulfulflow Yoga — Pilates x Yoga Fusion"
"Ausstellung ""Linien-Flächen-Farben"" im Patch.Work","Выставка «Линии, плоскости, цвета» в Patch.Work"
"Nordic-Walking Treff","Встреча по скандинавской ходьбе"
"Zwischen Wiesen, Moor und Ewigkeit | Chiemgauer Wanderherbst","Между лугами, болотами и вечностью | Осенняя прогулка по Кимгау"
"Ganzkörper-Workout für Frauen","Тренировка всего тела для женщин"
"Begrüßungsspaziergang mit Eva-Maria","Приветственная прогулка с Евой-Марией"
"Freier Eintritt für ABC-Schützen im Märchenpark","Бесплатный вход для первоклассников в сказочный парк"
"Kostenloser Golf-Schnupperkurs – Einfach ausprobieren!","Бесплатный пробный урок гольфа — просто попробуйте!"
"Begrüßungstour - ""Servus"" in Reit im Winkl - Ein Erlebnis mit unserem OUTDOOR-TEAM","Приветственный тур — «Servus» в Райт-им-Винкль — приключение с нашей OUTDOOR-TEAM"
"SherDOG Holmes - Pfotendetektive in der Freilichtbühne","SherDOG Holmes — детективы на лапах на открытой сцене"
"Geführte Erlebnistouren – E-Bike Schnuppertour rund um Ruhpolding mit Alfons Pichler","Экскурсии с гидом — пробный тур на электровелосипедах по Рупольдингу с Альфонсом Пихлером"
"Schnupperkurs Bogenschießen","Пробный курс стрельбы из лука"
"Brauereiführung in der Privaten Landbrauerei Schönram","Экскурсия по частной пивоварне Schönram"
"Spielenachmittag der Chieminger Senioren","Игровой день для пожилых жителей Киминга"
"Kinderyoga für Schulkinder","Детский йога для школьников"
"Malkurs im Vereinshaus Traunstein","Курс рисования в клубе Traunstein"
"Seerosengeflüster in Seeon","Шепот водяных лилий в Зеоне"
"Segwaytour Grassau ""Durchs Achental zum Jägerwinkl""","Экскурсия на сегвеях по Грассау «Через долину Ахенталь к Jägerwinkl»"
"Eine Wanderung für das Gemüt!","Поход для души!"
"Schafkopfkurs in Seeon","Курс по игре в карты «Schafkopf» в Зеоне"
"Brauereiführung im Hofbräuhaus Traunstein - Voranmeldung notwendig","Экскурсия по пивоварне Hofbräuhaus Traunstein — необходима предварительная регистрация"
"smoveyPOWERTRAINING mit Katharina Hauser","smoveyPOWERTRAINING с Катариной Хаузер"
"Soulfulflow Yoga - Matten Pilates","Soulfulflow Yoga — пилатес на ковриках"
"Tanzkurs ""VeroDance""","Танцевальный курс «VeroDance»"
Radlertreff,"Встреча велосипедистов"
"Informationsabend zum Reparatur-Café","Информационный вечер в Repair Café"
"Chiemgau-Autoren e.V. - Literatur Live ""Lesen nach Los""","Chiemgau-Autoren e.V. — литература вживую «Lesen nach Los»"
"Soulfulflow Yoga - Vinyasa Yoga Flow","Soulfulflow Yoga — Vinyasa Yoga Flow"
"Herbstausflug Gartenbauverein","Осенняя поездка садоводческого клуба"
Rückenmassage,"Массаж спины"
"Kinderglück und Ponyzeit","Детское счастье и время с пони"
"Meditation am Morgen","Утренняя медитация"
"Soulfulflow Yoga - Easy Vinyasa Yoga Flow","Soulfulflow Yoga — Easy Vinyasa Yoga Flow"
"Schmuckdesign-Workshop mit TUYA Designs","Мастер-класс по дизайну украшений с TUYA Designs"
"Chiemgauer Wanderherbst - Wo Natur auf Schmiedekunst trifft","Осенние походы в Кимгау — где природа встречается с кузнечным искусством"
Salzburg-Express,Зальцбург-Экспресс
"Seniorenausflug zur „Maxhütte in Bergen“","Поездка для пожилых в «Maxhütte in Bergen»"
"Inzeller Alm-Wander-Woche - Reiter Alm","Неделя походов по альпийским лугам Инцелла - Reiter Alm"
"Bergwald erleben, Almen genießen - geführte Wanderung in Grassau","Познакомьтесь с горным лесом, насладитесь альпийскими лугами - поход с гидом в Грассау"
"Geführte Almwanderung - Muckklause - Ein Erlebnis mit unserem OUTDOOR-TEAM","Поход с гидом по альпийским лугам - Muckklause - приключение с нашей командой OUTDOOR-TEAM"
"E-Bike Schnupper-Radtour","Пробный велотур на электровелосипедах"
"Kasgschichtn – Wandern & Genießen in Ruhpolding","Kasgschichtn – походы и удовольствия в Рупольдинге"
"Bergen. Rundgang durch das Eisenwerk Museum Maxhütte","Берген. Экскурсия по музею металлургического завода Maxhütte"
"Offene Sprechstunde der EUTB Ergänzenden unabhängigen Teilhabeberatung","Открытые консультации EUTB по дополнительному независимому консультированию по вопросам участия"
"Ganzkörpergymnastik nach Meinrad Egger","Гимнастика для всего тела по системе Meinrad Egger"
"Stadtführung - Tauchen Sie ein in die Geschichte Traunsteins","Экскурсия по городу – погрузитесь в историю Траунштайна"
"Arena-Tour mit Biathlonschießen in der Chiemgau Arena","Экскурсия по арене с биатлонной стрельбой в Chiemgau Arena"
"Kunstsommer 2025","Художественное лето 2025"
Salinenmuseum,"Музей соляных копей"
"Chiemgauer Wanderherbst - Alles Alm - Genuss, Bewegung, Tradition","Осенние походы в Кимгау – Все о альпах – удовольствие, движение, традиции"
"Schachtreff für Hobbyspieler und Gäste","Шахматный клуб для любителей и гостей"
"Geselliges Tanzen - Tanzen hilft","Общественные танцы – танцы помогают"
"Lets talk English","Давайте поговорим по-английски"
"Exklusive Römer-Erlebnisführung","Эксклюзивная экскурсия по римским достопримечательностям"
Feierabend-Almtour,"Вечерняя экскурсия по альпам"
"Tanz dich fit!","Танцуйте, чтобы быть в форме!"
Schnitzel-Liebe,"Любовь к шницелю"
"Feldenkrais in Seeon am Abend","Фельденкрайс в Зеоне вечером"
"Pilates & Yoga Kurse mit Alexander Preinstorfer","Курсы пилатеса и йоги с Александром Прейнсторфером"
"Barre Flow by Patricia Helena im Patch.Work Seeon","Barre Flow от Патриции Елены в Patch.Work Seeon"
"Übung macht den Meister - oder doch nicht?","Практика делает мастера — или нет?"
"Power Dancing","Power Dancing"
"Rückblick 100 Jahre Waginger Faschingsmusi","Обзор 100 лет карнавальной музыки Вагингера"
Schnapsbrennereiführung,"Экскурсия по ликероводочному заводу"
"Arbeitskreis erneuerbare Energien","Рабочая группа по возобновляемым источникам энергии"
"Fußball Live im Derby","Футбол в прямом эфире в дерби"
"Ganzheitliche Fußmassage","Холистический массаж стоп"
"Traunsteiner Wochenmarkt - Regional einkaufen","Еженедельный рынок в Траунштайне — региональные покупки"
"Wössner Wochenmarkt am Rathausplatz","Еженедельный рынок Вёсснера на Ратушной площади"
"Feldenkrais in Seeon am Morgen","Фельденкрайс в Зеоне утром"
"Kohleralm und Kohlerhörndl - Gipfeltour mit Marianne","Kohleralm и Kohlerhörndl — поход на вершину с Марианной"
Frauenfrühstück,"Женский завтрак"
"Alm-Wander-Woche - Zwiesel Alm","Неделя походов по альпам — Zwiesel Alm"
"SherDOG Holmes - Pfotendetektive auf der Suche nach den schönsten Plätzen in Inzell","SherDOG Holmes — детективы на четвереньках в поисках самых красивых мест в Инцелле"
"Paradies für Überlebenskünstler","Рай для мастеров выживания"
"Geselliges Tanzen","Общественные танцы"
"Ladies Day in der Natursauna Inzell","День дам в природной сауне Инцелле"
"23. TRUNA 2025","23. TRUNA 2025"
"Geführte E-Bike-Tour - Rund um den Walchsee - Ein Erlebnis mit unserem OUTDOOR-TEAM","Экскурсия на электровелосипедах — вокруг озера Вальхзее — приключение с нашей командой OUTDOOR"
"Wanderung mit Alpakas","Поход с альпаками"
"Arena-Tour in der Chiemgau Arena","Экскурсия по арене Chiemgau Arena"
"Auf den Spuren von Bedaium","По следам Бедаума"
"Kunst am Morgen MEHRKÖRPERSYSTEME.","Искусство по утрам МНОГОКОРПУСНЫЕ СИСТЕМЫ."
"Geführte Radtour ""Bis zum Fuss des Hochfelln""","Экскурсия на велосипедах «К подножию Хохфельна»"
"Brauerei- und Höhlenburgführung","Экскурсия по пивоварне и пещерному замку"
"Frauengemeinschaft Erlstätt: Seniorennachmittag","Женское общество Эрльштадт: день для пожилых"
"Senioren Stammtisch am Reifinger See","Встреча пожилых людей у озера Райфингер"
"Familientag im Naturpavillon","Семейный день в природном павильоне"
"Ballett für Kinder ab 4 Jahren","Балет для детей от 4 лет"
"Zumba Fitness",Зумба-фитнес
"Yoga beim Esterer Hof","Йога в Esterer Hof"
"Zertifizierter Yogakurs mit Ida Fabritius","Сертифицированный курс йоги с Идой Фабрициус"
"Offenes Atelier","Открытая мастерская"
"Förderverein der KiTa Mäusebande Erlstätt e.V.: Jahreshauptversammlung mit Neuwahlen","Общество поддержки детского сада Mäusebande Erlstätt e.V.: ежегодное общее собрание с выборами"
evolve-Gesprächskreis,"Дискуссионный кружок evolve"
"Weisheit der Wechseljahre","Мудрость менопаузы"
"Agenda Arbeitskreis ""Verkehr, Energie, Ortsbild"": Zusammenkunft im Sitzungssaal des Rathauses Grabenstätt (II. Stock)","Повестка дня рабочей группы «Транспорт, энергия, облик населенного пункта»: собрание в зале заседаний ратуши Грабенштетта (II этаж)"
"""Lebensfreude""","«Радость жизни»"
"Simon Popp Drum Trio","Симон Попп Drum Trio"
"Kymsee Whisky: Brennereiführung mit Verkostung","Kymsee Whisky: экскурсия по винокурне с дегустацией"
"Yoga am Morgen am Moierhof","Утренняя йога в Moierhof"
"Sri Sai Prana Yoga mit Katja","Шри Саи Прана Йога с Катей"
"Durch die wilde Wiese","Через дикий луг"
"Alm-Wander-Woche Kohleralm","Неделя походов по альпийским лугам Kohleralm"
"Frillensee und Hendelbergköpferl","Озеро Фрильнзее и гора Хендельбергкёпферль"
"Museumsspaziergang durch den Ort - Ein Erlebnis mit unserem OUTDOOR-TEAM","Прогулка по музею города — приключение с нашей командой OUTDOOR-TEAM"
E-Mountainbike-Tour,"Электровелосипедный тур"
"Donnerstag ist Steinzeittag","Четверг — день каменного века"
"Führung durch die Max Aicher Arena","Экскурсия по арене Макса Айхера"
"Geführte Erlebnistouren - E-Bike Tour: Chiemgauer Alpen, Alm und Seenwelt","Экскурсии с гидом — тур на электровелосипедах: Альпы Кимгау, альпийские луга и озера"
"Römerwerkstatt - Geschichte zum Ausprobieren","Римская мастерская — история, которую можно попробовать"
"Kräuterwissen und Küchenkunst","Знание трав и кулинарное искусство"
"Alaunen und Noriker - Führung im Freilichtmuseum bzw. Römermuseum","Алауны и норики — экскурсия по музею под открытым небом и музею римской эпохи"
"Gebrauchtkleidermarkt und vieles mehr","Рынок подержанной одежды и многое другое"
"Mietenkamer Kaffeestammtisch","Кофейный стол в Мieteenkamer"
"Info-Veranstaltung zu Patientenverfügung und Vorsorgevollmacht","Информационное мероприятие по вопросам завещания о лечении и доверенности на принятие решений"
"Besuchsdienst-Kurs für Ehrenamtliche","Курс для волонтеров по посещению больных"
"Yoga für Kindergarten-Kinder","Йога для детей дошкольного возраста"
"Gesprächsgruppe für pflegende Angehörige","Группа поддержки для родственников, ухаживающих за больными"
"Flow & Relax mit Alpenhypno","Flow & Relax с Alpenhypno"
"Kirchen- und Kulturführung zur Wallfahrtskirche auf dem Mühlberg","Экскурсия по церкви и культурным достопримечательностям паломнической церкви на Мюльберге"
"Bier & Schmankerl Tasting","Дегустация пива и деликатесов"
"Ausflugsfahrt „Eintauchen in die Wasserwelt“","Экскурсия «Погружение в водный мир»"
"Bio-Schmankerlmenü mit Bio-Weintasting","Меню из био-деликатесов с дегустацией био-винов"
"VdK Vortrag: Palliative Versorgung","Лекция VdK: паллиативная помощь"
"CAMBA Bier-Festl in Seeon","CAMBA Bier-Festl в Зеоне"
"GenussAffäre - Überraschungsmenü","GenussAffäre — меню-сюрприз"
"Musik & Kultur im Winkl - mit dem Duo 7 MILES","Музыка и культура в Винкеле — с дуэтом 7 MILES"
"Musik & Kultur im Winkl - mit ""SCHUTTI""","Музыка и культура в Винкеле — с «SCHUTTI»"
Kameradschaftsabend,"Вечер товарищества"
"Der etwas andere Hüttenabend mit Live Musik","Немного необычный вечер в хижине с живой музыкой"
"Stammtisch des Imkervereins Grassau e. V.","Постоянная компания пчеловодческого общества Grassau e. V."
"Abendstammtisch im Mietenkamer Dorfsaal","Вечерняя компания в деревенском зале Mietenkamer"
"Wein & Bierfest","Фестиваль вина и пива"
"Teacher's Groove Bigband - Swing Night","Teacher's Groove Bigband — Swing Night"
"Eva Karl Faltermeier","Ева Карл Фальтермайер"
Jahreshauptversammlung,"Ежегодное общее собрание"
"Theaterverein Reit im Winkl - Bauerntheater","Театральное общество Reit im Winkl — крестьянский театр"
"Mutmacherkonzert - Mein Seelentraum | Carmen López","Концерт для поднятия настроения — Моя душевная мечта | Кармен Лопес"
"Offenes Wohnzimmer","Открытая гостиная"
"Bauernmarkt Traunstein - Lebensqualität aus Bauernhand","Фермерский рынок Traunstein — качество жизни из рук фермеров"
Bauernmarkt,"Фермерский рынок"
"Tag der ewigen Anbetung","День вечного поклонения"
"Grillabend im Forellenhof","Вечер барбекю в Forellenhof"
"Fußwallfahrt nach Maria Eck","Пешее паломничество в Maria Eck"
Flohmarkt,"Блошиный рынок"
"Klettern mit der Klettersteigschule Reit im Winkl","Скалолазание со школой скалолазания Reit im Winkl"
"Eisstockschießen der Harter Ortsvereine","Кегльбан клубов Harter Ortsvereine"
"Inzeller Alm-Wanderwoche - Steiner Alm","Неделя походов по альпийским лугам Inzeller Alm — Steiner Alm"
"Türen auf mit der Maus - im Holzknechtmuseum","Откройте двери с мышкой - в музее лесорубов"
"Schleiferlturnier des TC Rottau","Турнир Schleiferlturnier TC Rottau"
"Wanderherbst - Genusswanderung mit Chiemseeblick im GenussOrt Reit im Winkl","Осенний поход - увлекательный поход с видом на озеро Кимзее в GenussOrt Reit im Winkl"
"Schamanisches Seminar mit Willee Regensburger","Шаманский семинар с Вилли Регенсбургер"
"Rauschberger Herbstletzt","Rauschberger Herbstletzt"
"SCHWAMMERL-FEST mit de ""Schmankerl-Musi""","Фестиваль SCHWAMMERL-FEST с «Schmankerl-Musi»"
"Bergmesse der Bergwacht Grassau am Haberspitz","Горная месса горной спасательной службы Грассау на Хабершпитц"
"Bergmesse der Bergwacht Grassau","Горная месса горной спасательной службы Грассау"
"Musik im Gastgarten","Музыка в саду ресторана"
Modelleisenbahnausstellung,"Выставка моделей железных дорог"
"Vereinsmeisterschaft im Stockschießen","Чемпионат клуба по кёрлингу"
"Steckerlfisch auf der Bründling Alm","Стекерльфиш на Брюндлинг-Альм"
Vereinsmeisterschaft,"Чемпионат клуба"
"Pferdekutschfahrt zur Moar-Alm","Поездка на конной повозке к Моар-Альм"
"3D Schnupperkurs Bogenschießen mit Parcours","3D-пробный курс стрельбы из лука с трассой"
"Krimitour - Akte Falkenstein","Криминальный тур — дело Фалькенштайна"
Deepwork,Deepwork
"Boule spielen","Игра в буль"
"Internationales Rennen","Международные гонки"
"Vereinspreisplatteln & Dirndldrahn in der Achentalhalle","Клубный приз Platteln & Dirndldrahn в Achentalhalle"
"Schutzengelandacht & Jubiläum","Schutzengelandacht & юбилей"
"Zimmerstutzenschützengesellschaft Grabenstätt: Hobbyklasse - Schießen für Jedermann","Клуб стрельбы Zimmerstutzenschützengesellschaft Grabenstätt: хобби-класс — стрельба для всех"
Stadl-Kino,"Кинотеатр Stadl"
"Räucherrituale im Tipi im Ruhpoldinger Tal","Ритуалы окуривания в типи в долине Рупольдингер"
"JONOI + Special Guest","JONOI + специальный гость"
"Live Jazz in der Achental Bar & Lounge mit The Labradorians","Живой джаз в баре и лаундже Achental с The Labradorians"
"Musikkabarett - Petzenhauser & Wählt","Музыкальный кабаре - Petzenhauser & Wählt"
Psychlona,Psychlona
"Unternberg Alm Festival","Фестиваль Unternberg Alm"
"Waginger Bauernmarkt","Фермерский рынок Waginger"
"Gartenbauverein Grabenstätt: Bauernmarkt im Herbst - Kinderprogramm","Садоводческое общество Grabenstätt: осенний фермерский рынок - программа для детей"
"Bauernmarkt zum Erntedank","Фермерский рынок в честь Дня благодарения"
"Schwendaktion der Bergsteigerdörfer Schleching und Sachrang","Акция по уборке мусора в альпинистских деревнях Шлехинг и Захранг"
"Ausstellung ""ZERBRECHLICH !"" - Galerie Kaysser","Выставка «ZERBRECHLICH!» — Галерея Kaysser"
"Geheimnisse von Eiszeit und Furchensteinen","Секреты ледникового периода и каменных борозд"
"Wanderung zum Wasserloch","Поход к водопою"
"Führung durch die Salzausstellung","Экскурсия по выставке соли"
"Wurzelsepp und Zauberwald","Wurzelsepp и волшебный лес"
"Kuhtopia Besuchstage","Дни посещения Kuhtopia"
"MuK Studios Opening","Открытие MuK Studios"
"Bayerischer Musikabend","Баварский музыкальный вечер"
"""Es ko a moi wengei gmiatlich sei""","«Es ko a moi wengei gmiatlich sei»"
"Tango Encuentro","Танго Encuentro"
"Musik und Wein im Bürgerhaus","Музыка и вино в Bürgerhaus"
Gauliedersingen,"Пение песен о лошадях"
"D'Feldwieser Roas - um d'Welt und z'ruck","D'Feldwieser Roas — вокруг света и обратно"
"Pfarrverband Heiliger Franz von Assisi: Patrozinium","Приход Святого Франциска Ассизского: патронаж"
"Trio Trikolore: Französische Chansons","Трио Trikolore: французские шансоны"
"Cuba Night","Кубинская ночь"
"Katrin Unterlerchers Damenwahl","Katrin Unterlerchers Damenwahl"
Lener,Lener
"Erntedankaltar schmücken","Украшение алтаря в честь праздника урожая"
"Live Musik mit JONOI","Живая музыка с JONOI"
Gitarrenschnellkurs,"Ускоренный курс игры на гитаре"
"Golfturnier - 18 Loch Turnier Gut Ising","Турнир по гольфу – 18-луночный турнир Gut Ising"
"Erntedankfest in Hart mit Festzug","Праздник урожая в Харте с парадом"
"Erntedankfest in Nußdorf","Праздник урожая в Нусдорфе"
Erntedank-Gottesdienst,"Богослужение в честь праздника урожая"
"Festgottesdienst zum Erntedank","Торжественное богослужение в честь Праздника урожая"
"Brunch im Patch.Coffee Seeon","Бранч в Patch.Coffee Seeon"
"Pfarrei Erlstätt: Erntedankfest","Приход Эрльштетт: Праздник урожая"
"Erntedankfest mit Stadl-Kirta","Праздник урожая с Stadl-Kirta"
"Erntedankfest in Chieming mit Festzug","Праздник урожая в Киминг с праздничным шествием"
"Erntedankfest in Ising mit Festzug","Праздник урожая в Изинг с праздничным шествием"
"Vivat Bedaium: Legionäre der LEG IX HISPANA im Römermuseum Bedaium","Vivat Bedaium: Легионеры LEG IX HISPANA в римском музее Bedaium"
"Kirchenführung in der Pfarrkirche St. Georg","Экскурсия по приходской церкви Св. Георгия"
"OKTOBERFEST mit de ""BERGFEXN""","ОКТОБЕРФЕСТ с «BERGFEXN»"
"Evang. Kirchengemeinde Übersee: Gottesdienst mit Abendmahl zum Erntedankfest","Евангелическая приходская община Übersee: богослужение с причастием в честь Праздника благодарения"
"""Unterwegs mit Bellicus"" - die Römerregion Chiemsee bei einer Radltour vorgestellt -","«В путешествии с Белликусом» — знакомство с римским регионом Кимзее во время велосипедной прогулки —"
"Wissen Volksmusik zu Gast im Holzknechtmuseum","Wissen Volksmusik в гостях в музее Holzknechtmuseum"
"Sonntagsführung - Jubiläumsprogramm 2025","Воскресная экскурсия — юбилейная программа 2025"
"Zauberclown Manu","Волшебный клоун Ману"
"DEC Frillensee Inzell - Grizzlys Linz","DEC Frillensee Inzell — Grizzlys Linz"
"Sankt Valentiner Seelenzuckerl: „Ein Lied für die Schöpfung“","Святой Валентин — «Песня для творения»"
"BodyPower beim Nuihausa mit Tine Hausberger","BodyPower в Nuihausa с Тине Хаусбергер"
"Andacht mit Musik für die Seele","Молитва с музыкой для души"
"TanzTeeTotal mit next3 & Johanna","TanzTeeTotal с next3 & Johanna"
"Luise Kinseher","Луиза Кинзехер"
"Montagsgeher - Kneippverein","Понедельники - Клуб Кнайпа"
"Montagsgeher Kneippverein Traunstein - Leichte Wege in und um Traunstein","Понедельники Клуб Кнайпа Траунштайн - Легкие маршруты в Траунштайне и окрестностях"
"Chiemgauer Wanderherbst - Eine Wanderung für das Gemüt","Осенние походы в Кимгау - Поход для души"
"Geh-Hirn in Bewegung","Мозг в движении"
"Vortrag ""Wohnen im Alter""","Лекция «Жизнь в пожилом возрасте»"
"Musikanten - Montag in der Gaststätte Hochfellnblick","Музыканты - Понедельник в ресторане Hochfellnblick"
"Klangreise - Entspannung für Körper, Geist und Seele","Звуковое путешествие - расслабление для тела, духа и души"
"Geführte Almwanderung - Eggenalm - Ein Erlebnis mit unserem OUTDOOR-TEAM","Экскурсия по альпийским лугам - Eggenalm - приключение с нашей командой OUTDOOR"
"Bergen: offener Spielenachmittag","Берген: открытый игровой день"
"Tanz in die Stille","Танец в тишине"
"Offener schamanischer Abend mit Willee Regensburger","Открытый шаманский вечер с Вилли Регенсбургером"
Oktoberrosenkranz,"Октябрьский розарий"
"Gartenbauverein Erlstätt: Herbstversammlung","Садоводческий клуб Эрльштадт: осеннее собрание"
"Infoabend ""14 Nothelfer""","Информационный вечер «14 помощников в беде»"
"Die Filzen-Biber - auf den Spuren des Moor-Baumeisters","Filzen-Biber — по следам строителя болот"
"Kräuterwanderung mit Chiemseeblick in Chieming","Экскурсия по сбору трав с видом на озеро Кимзее в Киминг"
"Geführte E-Bike-Tour - St. Johann - am Fuße des Kitzbüheler Horns - Ein Erlebnis mit unserem OUTDOOR-TEAM","Экскурсия на электровелосипедах — Санкт-Йоханн — у подножия горы Кицбюэлер Хорн — приключение с нашей OUTDOOR-TEAM"
"Kälbermarkt des Rinderzuchtverbands","Рынок телят Ассоциации скотоводов"
"VdK Ortsverband Grabenstätt: Kaffee Ausflug","Местное отделение VdK в Грабенштетте: кофейная прогулка"
"Evang. Kirchengemeinde Übersee-Bergen-Grabenstätt: Senioren-Aktiv-Treff","Евангелическая церковная община Übersee-Bergen-Grabenstätt: встреча активных пожилых людей"
"Senioren-Aktivtreff in Bergen","Встреча активных пожилых людей в Бергене"
"Römermuseum Bedaium - Römerführung in der Sonderausstellung 2025","Римский музей Bedaium — экскурсия по римской части в рамках специальной выставки 2025"
"Spezialverkostung mit Brauereiführung - Voranmeldung notwendig","Специальная дегустация с экскурсией по пивоварне — необходима предварительная регистрация"
"Chiemgauer Wanderherbst in Grabenstätt: Römische Gaumenfreuden heute","Осенний поход по Кимгау в Грабенштетте: римские кулинарные изыски сегодня"
"City BeaTS","City BeaTS"
Philosophen-Stammtisch,"Философский кружок"
Wirtshausgaudi,"Веселье в таверне"
"Geführte Almwanderung","Экскурсия по альпийским лугам"
"Chiemgauer Wanderherbst: Chiemsee Panorama Wanderung","Осенний поход по Кимгау: панорамный поход по Кимзее"
"Kreistänze für Anfänger","Круговые танцы для начинающих"
"Römergarten von Bedaium - Eine naturkundliche Führung im antiken Seebruck","Римский сад Бедаиума — экскурсия по древнему морскому причалу с рассказом о природе"
"Seniorennachmittag (Stadt Tittmoning)","День для пожилых (город Титмонинг)"
"Die Malteser informieren über den Hausnotruf","Мальтийцы информируют о системе экстренного вызова на дом"
"Vegetarisches Bio-Menü im Landhaus Tanner","Вегетарианское био-меню в Landhaus Tanner"
"Vernissage Ausstellung ""Wenn Bilder reden""","Вернисаж выставки «Когда картины говорят»"
"Abgesagt: Bergen: Konzert ""2 Gitarren - 2 Stimmen""","Отменено: Берген: концерт «2 гитары — 2 голоса»"
"Stefanie Sargnagel, Lesung „Iowa – Ein Ausflug nach Amerika“","Стефани Саргнагель, чтение «Айова — поездка в Америку»"
"Vortrag von Andrea Illguth: Fermentieren und Haltbar Machen","Лекция Андреа Илгут: Ферментация и консервирование"
"""Notenlos durch die Nacht""","«Без нот через ночь»"
"Ausstellung 950 Jahre Burg Marquartstein","Выставка «950 лет замку Марквартштайн»"
